place_id,name,address,types,region,lad_code,imd_quintile,is_true_salon,notes
ChIJ-QhWh_-me0gRPLb2uQXjYnc,Holiday Inn Bolton Centre by IHG,"1 Higher Bridge St, Bolton BL1 2EW, UK",bar;establishment;event_venue;food;hotel;lodging;point_of_interest;restaurant;service,Greater_Manchester,E08000001,1,False,Hotel / lodging - no tanning indicated
ChIJ1Vl9yPame0gREQ7_-B444ZU,golden looks,"65 Tonge Moor Rd, Bolton BL2 2DL, UK",beauty_salon;establishment;establishmenttanning_studio;nail_salon;point_of_interest;service;tanning_studio,Greater_Manchester,E08000001,1,True,
ChIJ6TqJ6Rqne0gRYSNW2Wi2nOM,"Revibe Hair, Beauty, and Headspa","139 Hughes St, Bolton BL1 3EZ, UK",beauty_salon;establishment;establishmenthair_salon;hair_care;hair_salon;point_of_interest;service,Greater_Manchester,E08000001,1,True,Confirmed via web: offers UV sunbeds and tanning services
ChIJ7c9x7C-me0gRisbZzT-XPEE,Golden Brown Sunbeds,"169 Plodder Ln, Farnworth, Bolton BL4 0BT, UK",beauty_salon;establishment;establishmenttanning_studio;point_of_interest;service;tanning_studio,Greater_Manchester,E08000001,1,True,
ChIJ8ciRWTane0gRvA-b1gJtXDU,Tan & Deliver Home Hire Sunbeds Lancashire,"Chorley New Rd, Bolton BL1 4QR, UK",establishment;establishmenttanning_studio;point_of_interest;service;tanning_studio,Greater_Manchester,E08000001,1,False,Tanning equipment hire/supplier - not a salon
ChIJE-XcifGme0gR0L83TDo5xfg,The Beach Hut,"309 Tonge Moor Rd, Bolton BL2 2JG, UK",establishment;establishmenttanning_studio;point_of_interest;service;tanning_studio,Greater_Manchester,E08000001,1,True,
ChIJE37Sx4yne0gRbF8B4s-HP5I,Olivia Megan Beauty,"@Atelier, Hair & Beauty Studio, 472 Wigan Rd, Bolton BL3 4QH, UK",beauty_salon;establishment;point_of_interest;service,Greater_Manchester,E08000001,1,False,Spray tan only - no UV sunbed evidence
ChIJG-9g9gqne0gR5cTRy0FsvXk,Morrisons,"Mornington Rd, Bolton BL1 4EU, UK",establishment;food;food_store;grocery_store;point_of_interest;store;supermarket,Greater_Manchester,E08000001,1,False,Supermarket / food retailer
ChIJI4jwXxCne0gRR25aMUxH5u8,Rose & Caramel Salon,"519 Halliwell Rd, Bolton BL1 8DB, UK",beauty_salon;establishment;hair_care;hair_salon;point_of_interest;service,Greater_Manchester,E08000001,1,False,Spray tan business only
ChIJI9PKDgCne0gRv6hSQMf6oXI,Sunseekers Sunbeds,"47-49 Brackley St, Farnworth, Bolton BL4 9DS, UK",establishment;establishmenttanning_studio;point_of_interest;service;tanning_studio,Greater_Manchester,E08000001,1,True,
ChIJIfSUfr-ne0gRJZpF5FiVMis,BusyBodies ladies gym,"9-11 Morris Green Ln, Bolton BL3 3JD, UK",establishment;gym;health;point_of_interest;sports_activity_location,Greater_Manchester,E08000001,1,False,Gym / fitness centre - no tanning indicated
ChIJOeprqlOme0gRir75Qkrvi84,Sunsiro Sunbed,"134 Newport St, Bolton BL3 6AB, UK",establishment;establishmenttanning_studio;point_of_interest;service;tanning_studio,Greater_Manchester,E08000001,1,True,
ChIJOffrI7Gne0gRjgiRgSwJhcQ,Baddy's Parlour,"7 Deansgate, Bolton BL1 1HH, UK",barber_shop;beauty_salon;establishment;hair_care;hair_salon;health;massage;massage_spa;nail_salon;point_of_interest;service;spa;store;tanning_studio,Greater_Manchester,E08000001,1,True,
ChIJR_HdrmGme0gRtGaL5yBuKww,Tantastic,"380 Bury Rd, Tonge Fold, Bolton BL2 6DT, UK",beauty_salon;establishment;establishmenttanning_studio;nail_salon;point_of_interest;service;tanning_studio,Greater_Manchester,E08000001,1,True,
ChIJT4ykcRume0gRkqExNH1JoCA,Tan Tropez,"44 Higher Market St, Farnworth, Bolton BL4 9BB, UK",establishment;establishmenttanning_studio;point_of_interest;service;tanning_studio,Greater_Manchester,E08000001,1,True,
ChIJU5mWUBqme0gRbINIA3dwbFc,New Farnworth Sun Centre,"125 Market St., Farnworth, Bolton BL4 8EX, UK",establishment;establishmenttanning_studio;point_of_interest;service;tanning_studio,Greater_Manchester,E08000001,1,True,
ChIJ_Sf1otmne0gRH1u_YXL-jjE,YU Nail & Beauty Aesthetics,"20 Bridge St, Bolton BL1 2EA, UK",beauty_salon;establishment;nail_salon;point_of_interest;service,Greater_Manchester,E08000001,1,False,Beauty/hair/nail salon - no tanning keywords in name
ChIJ_biD05ane0gRi7xtGvP5L28,MIAMI SUPER TAN SUN CENTRE,"365-367 Wigan Rd, Bolton BL3 5QU, UK",establishment;establishmenttanning_studio;point_of_interest;service;tanning_studio,Greater_Manchester,E08000001,1,True,
ChIJbX6meVWme0gRCmfraBg27dA,The Beauty Lounge,"The Beauty Lounge, 20 Bark St E, Bolton BL1 2BQ, UK",beauty_salon;establishment;establishmentbeauty_salon;massage;nail_salon;point_of_interest;service,Greater_Manchester,E08000001,1,False,Spray tan only - no UV sunbed evidence
ChIJbw3oniWme0gRY9R56CA5rnM,The Tanning Lounge,"76 Highfield Rd, Farnworth, Bolton BL4 0AD, UK",establishment;establishmenttanning_studio;point_of_interest;service;tanning_studio,Greater_Manchester,E08000001,1,True,
ChIJfUruXxqne0gR9VK2qIHCne0,Beach Brown Tanning Products Ltd,"C2, Falcon Mill, Handel St, Bolton BL1 8BL, UK",establishment;establishmentservice;point_of_interest;service,Greater_Manchester,E08000001,1,False,Known non-salon - manually excluded
