verification_id,source,source_id,name,address,lad_code,imd_quintile,lat,lon,status,reviewer,review_date_utc,duplicate_of,notes
google:ChIJa5Zu0w_zfkgRLxbqZun06r0,google,ChIJa5Zu0w_zfkgRLxbqZun06r0,Body Beautiful,"Cleveland, 7 Wynyard Rd, Hartlepool TS25 3LB, UK",E06000001,1.0,54.66084099810185,-1.2360089864805293,confirmed,MB,2026-04-28,,
google:ChIJZYjWvIj1fkgRA2PjXGmhNUE,google,ChIJZYjWvIj1fkgRA2PjXGmhNUE,Bronz & Browz,"Easington Rd, Hartlepool TS24 9QU, UK",E06000001,1.0,54.710001598147684,-1.2411668864625336,confirmed,MB,2026-04-28,,
google:ChIJx9fG3HL1fkgRb2Z7utPTSA4,google,ChIJx9fG3HL1fkgRb2Z7utPTSA4,Bronzed bliss tanning studio,"33 Chatham Rd, Hartlepool TS24 8QG, UK",E06000001,1.0,54.69467499813211,-1.223547986458123,confirmed,MB,2026-04-28,,
google:ChIJWRPFZ1z1fkgR0xxR0uvJ3Xc,google,ChIJWRPFZ1z1fkgR0xxR0uvJ3Xc,Glow Spray Tanning,"22 Broomhill Gardens, Hartlepool TS26 0JP, UK",E06000001,2.0,54.69305579813161,-1.236341686466818,rejected,MB,2026-04-28,,Spray tan only (no UV sunbeds)
google:ChIJb1MFXr_zfkgRjwf94lv2nm0,google,ChIJb1MFXr_zfkgRjwf94lv2nm0,Golden Brown,"19 Forester Cl, Seaton Carew, Hartlepool TS25 1JE, UK",E06000001,4.0,54.66516439810274,-1.196496286454038,confirmed,MB,2026-04-28,,
google:ChIJnw7ypY7zfkgR2vbL7RRsFqA,google,ChIJnw7ypY7zfkgR2vbL7RRsFqA,Hartburn Tanning,"Goldmine Shops, Unit 3 Catcote Rd, Hartlepool TS25 3JN, UK",E06000001,1.0,54.660449298101426,-1.2356011864804441,confirmed,MB,2026-04-28,,
google:ChIJYxGh_wTzfkgRA8c4gAKN3Lw,google,ChIJYxGh_wTzfkgRA8c4gAKN3Lw,Heatwave,"418 Catcote Rd, Hartlepool TS25 2LS, UK",E06000001,1.0,54.65505149809626,-1.2334590864814434,confirmed,MB,2026-04-28,,
google:ChIJkQ1Mu4bzfkgRQ3ZIhkWk3VU,google,ChIJkQ1Mu4bzfkgRQ3ZIhkWk3VU,Hidden Aesthetics- The Skin Clinic,"Hartlepool TS27 3JG, UK",E06000001,4.0,54.71525059815383,-1.2576187864705894,confirmed,MB,2026-04-28,,
google:ChIJNYy5IIHzfkgR-hI9_PnAxz4,google,ChIJNYy5IIHzfkgR-hI9_PnAxz4,Labyrinth salon,"43 Park Rd, Hartlepool TS24 7PW, UK",E06000001,1.0,54.68239659812003,-1.2141329864575543,confirmed,MB,2026-04-28,,
google:ChIJRZbMFY30fkgR0YNIoeRwaQA,google,ChIJRZbMFY30fkgR0YNIoeRwaQA,Perfect Appearance Beauty salon,"14 Brus Corner, Hartlepool TS24 9LA, UK",E06000001,1.0,54.711398298148666,-1.2373829864595622,confirmed,MB,2026-04-28,,
google:ChIJjcexQujzfkgRUGiBV3goL8Q,google,ChIJjcexQujzfkgRUGiBV3goL8Q,Rayz Tanning Lounge,"80 Reed St, Hartlepool TS24 7AX, UK",E06000001,1.0,54.68452559812115,-1.2030945864497546,confirmed,MB,2026-04-28,,
google:ChIJB4PYW330fkgRg_QYEQbeZeo,google,ChIJB4PYW330fkgRg_QYEQbeZeo,Spray Tan Queen & Foot Health Hartlepool,"39 Wynyard Rd, Hartlepool TS25 3LB, UK",E06000001,1.0,54.66076719810185,-1.2372256864813214,rejected,MB,2026-04-28,,Spray tan only (no UV sunbeds)
google:ChIJJQFe-vL1fkgRwgxcgw2UYVs,google,ChIJJQFe-vL1fkgRwgxcgw2UYVs,THE GLAM LAB X,"30 Miers Ave, Hartlepool TS24 9HH, UK",E06000001,1.0,54.70702939814341,-1.2219234864517765,confirmed,MB,2026-04-28,,
google:ChIJwf-ZqanzfkgRLSk0-9SRYeY,google,ChIJwf-ZqanzfkgRLSk0-9SRYeY,The Hideaway,"90 York Rd, Hartlepool TS26 9DQ, UK",E06000001,1.0,54.68518679812282,-1.2166455864579142,confirmed,MB,2026-04-28,,
google:ChIJX0WeYXLzfkgRf-zFNA5usUM,google,ChIJX0WeYXLzfkgRf-zFNA5usUM,The Suntrap,"Hartlepool TS25 4HG, UK",E06000001,1.0,54.671938398112104,-1.2362552864758838,confirmed,MB,2026-04-28,,
google:ChIJc9olbJfzfkgRxd-Kgvw118o,google,ChIJc9olbJfzfkgRxd-Kgvw118o,Ultimate Tanning Studio Hartlepool,"4-5, Enterprise House, Thomlinson Rd, Hartlepool TS25 1NS, UK",E06000001,1.0,54.672998298110926,-1.20875428645827,confirmed,MB,2026-04-28,,
google:ChIJqQcQtVjsfkgR85Mtbo7_rco,google,ChIJqQcQtVjsfkgR85Mtbo7_rco,A&E Bit's and Bob's & Tanerife Sunbeds,"50 Broughton Ave, Middlesbrough TS4 3PZ, UK",E06000002,1.0,54.54312609799184,-1.217197586520069,confirmed,MB,2026-04-28,,
google:ChIJ53SfdQDtfkgRhSIBOeBak_c,google,ChIJ53SfdQDtfkgRhSIBOeBak_c,Ada mae's tanning lounge,"112 Trimdon Ave, Acklam, Middlesbrough TS5 8SB, UK",E06000002,4.0,54.53825489799073,-1.2622518865501766,confirmed,MB,2026-04-28,,
google:ChIJAS7z34bufkgRYzfGT9U3aIA,google,ChIJAS7z34bufkgRYzfGT9U3aIA,All Dolled Up,"All Dolled Up, Thompson Yard, Middlesbrough TS3 8RQ, UK",E06000002,1.0,54.573647498018154,-1.1938554864922615,confirmed,MB,2026-04-28,,
google:ChIJB6oHfHvtfkgR9gxSVytk4j8,google,ChIJB6oHfHvtfkgR9gxSVytk4j8,Bambu hair and beauty,"Unit 3, Medhurst house, Sotherby Rd, Middlesbrough TS3 8BS, UK",E06000002,1.0,54.57227369801681,-1.192460286491999,confirmed,MB,2026-04-28,,
google:ChIJ24gKdH3sfkgR7EsMos3o298,google,ChIJ24gKdH3sfkgR7EsMos3o298,Bannatyne Health Club Coulby Newham,"Parkway Village, Parkway Centre, Coulby Newham, Middlesbrough TS8 0TJ, UK",E06000002,4.0,54.52367149797419,-1.2207017865307637,confirmed,MB,2026-04-28,,Bannatyne Health Club - chain known to offer sunbeds
google:ChIJ24gKdH3sfkgRGBTKlBNr25w,google,ChIJ24gKdH3sfkgRGBTKlBNr25w,Beauty Room,"parkway shopping centre, Coulby Newham, Middlesbrough TS8 0TJ, UK",E06000002,4.0,54.52443859797455,-1.2160278865275342,confirmed,MB,2026-04-28,,
google:ChIJTee-WqrtfkgRcCFmwqlwxvg,google,ChIJTee-WqrtfkgRcCFmwqlwxvg,Beauty by Haley - Mobile Beauty Therapist Middlesbrough,"148 Penistone Rd, Middlesbrough TS3 0EG, UK",E06000002,1.0,54.54771399799435,-1.1942328865038507,rejected,MB,2026-04-28,,Mobile beauty therapist - no fixed premises
google:ChIJKS6NbMjtfkgRIK8PAx28-6w,google,ChIJKS6NbMjtfkgRIK8PAx28-6w,Bee-Hive Beauty & Foot Health Practitioner,"18a Ayresome Green Ln, Middlesbrough TS5 4DN, UK",E06000002,1.0,54.56632489801603,-1.254858686533329,confirmed,MB,2026-04-28,,
google:ChIJrVyjgsXsfkgR9fG1nOnibbo,google,ChIJrVyjgsXsfkgR9fG1nOnibbo,Cleopatra,"First Floor, 271 Acklam Rd, Middlesbrough TS5 7BP, UK",E06000002,4.0,54.54549009799706,-1.2578733865442924,confirmed,MB,2026-04-28,,
google:ChIJoaX6isrtfkgR7HdR_MvA-Qc,google,ChIJoaX6isrtfkgR7HdR_MvA-Qc,"Egyptian Sun Sunbeds, Middlesbrough","The Gardens, Middlesbrough TS4 3DT, UK",E06000002,1.0,54.551339197999766,-1.2220449865194782,confirmed,MB,2026-04-28,,
google:ChIJoTO0rtDtfkgROeMz5RbxNYE,google,ChIJoTO0rtDtfkgROeMz5RbxNYE,Elegance Aesthetics,"355 Linthorpe Rd, Middlesbrough TS5 6AB, UK",E06000002,1.0,54.56421319801311,-1.2418901865261789,confirmed,MB,2026-04-28,,
google:ChIJsegkFSXtfkgRA_T1JH2nh5Q,google,ChIJsegkFSXtfkgRA_T1JH2nh5Q,Elegance Beauty & Training Academy,"108 Aidan Ct, Middlesbrough TS5 4BP, UK",E06000002,1.0,54.567125698017065,-1.2587975865354344,confirmed,MB,2026-04-28,,
google:ChIJVUS7D6btfkgRKlHBDwp17-Q,google,ChIJVUS7D6btfkgRKlHBDwp17-Q,Emas House of Beauty,"19, Norfolk Place, Berwick Hills, Middlesbrough TS3 7PA, UK",E06000002,1.0,54.561774698008065,-1.204804386504232,confirmed,MB,2026-04-28,,
google:ChIJ42s3DPLtfkgRcWwME1pxuvI,google,ChIJ42s3DPLtfkgRcWwME1pxuvI,Hair Unique Beauty & tattoo studio,"91 Acklam Rd, Middlesbrough TS5 5HR, UK",E06000002,2.0,54.55362689800491,-1.262389986543555,confirmed,MB,2026-04-28,,
google:ChIJOSqc5xPtfkgRlG_yFO8NByo,google,ChIJOSqc5xPtfkgRlG_yFO8NByo,Kwik Tan: Middlesbrough,"22 Newport Rd., Middlesbrough TS1 4AE, UK",E06000002,1.0,54.57636229802406,-1.238362886518687,confirmed,MB,2026-04-28,,
google:ChIJcToAm27sfkgRilaGS3xMQ94,google,ChIJcToAm27sfkgRilaGS3xMQ94,Leisure Tan,"40 Stokesley Rd, Marton-in-Cleveland, Middlesbrough TS7 8DX, UK",E06000002,4.0,54.530314997978635,-1.1982623865139714,confirmed,MB,2026-04-28,,
google:ChIJpe63zx7tfkgRuDcxybuUrn0,google,ChIJpe63zx7tfkgRuDcxybuUrn0,Linthorpe Tanning,"355 Linthorpe Rd, Middlesbrough TS5 6AB, UK",E06000002,1.0,54.56419289801309,-1.2418316865261516,confirmed,MB,2026-04-28,,
google:ChIJSZIqRRftfkgRxJCniqUrGic,google,ChIJSZIqRRftfkgRxJCniqUrGic,Manha's Hair And Beauty Salon,"25 Princes Rd, Middlesbrough TS1 4BE, UK",E06000002,1.0,54.57091509801919,-1.2407338865225361,confirmed,MB,2026-04-28,,
google:ChIJCYLsfRLtfkgRkmeXbUNOOm0,google,ChIJCYLsfRLtfkgRkmeXbUNOOm0,Mystique Beautique,"4, The, viewley centre, 41 Viewley Centre Rd, Hemlington, Middlesbrough TS8 9JH, UK",E06000002,1.0,54.525338397977194,-1.240378286542229,confirmed,MB,2026-04-28,,
google:ChIJV9WX47vsfkgRJU7VDsntpic,google,ChIJV9WX47vsfkgRJU7VDsntpic,Opulence Beauty,"Centre Court, 6 The Oval, Middlesbrough TS5 8HP, UK",E06000002,4.0,54.53184169798406,-1.2520766865466484,confirmed,MB,2026-04-28,,
google:ChIJmdbl0cnsfkgRYIKAZhghTvo,google,ChIJmdbl0cnsfkgRYIKAZhghTvo,Sunbeds,"128 Trimdon Ave, Acklam, Middlesbrough TS5 8SB, UK",E06000002,4.0,54.53796379799046,-1.262168486550253,confirmed,MB,2026-04-28,,
google:ChIJ0aL2YBDsfkgRcN-OH8PGSIc,google,ChIJ0aL2YBDsfkgRcN-OH8PGSIc,Sunset Beauty,"98 The Avenue, Nunthorpe, Middlesbrough TS7 0AP, UK",E06000002,5.0,54.529764397976685,-1.1788361865022268,confirmed,MB,2026-04-28,,
google:ChIJoxCthrLtfkgR7BuEFHooFuk,google,ChIJoxCthrLtfkgR7BuEFHooFuk,Tan & Go,"19 Norfolk Place, Berwick Hills, Middlesbrough TS3 7PA, UK",E06000002,1.0,54.5620824980084,-1.205359086504441,confirmed,MB,2026-04-28,,
google:ChIJcapuAKbtfkgRwIeYijzz6QQ,google,ChIJcapuAKbtfkgRwIeYijzz6QQ,Tan 2000 Ltd,"31 Kings Rd, North Ormesby, Middlesbrough TS3 6NG, UK",E06000002,1.0,54.570801398017,-1.2129396865053257,confirmed,MB,2026-04-28,,
google:ChIJfSf-VZrtfkgRi6lpazSO5a4,google,ChIJfSf-VZrtfkgRi6lpazSO5a4,Tan Junkie,"40 Borough Rd, Middlesbrough TS1 5DW, UK",E06000002,1.0,54.57321649802121,-1.2388546865203647,confirmed,MB,2026-04-28,,
google:ChIJQ_VBrW_tfkgR5CdkEzzGPFo,google,ChIJQ_VBrW_tfkgR5CdkEzzGPFo,Tanfastic body hemlington,"17a, the viewly center, Hemlington, Middlesbrough TS8 9JH, UK",E06000002,1.0,54.52551149797733,-1.2399561865418918,confirmed,MB,2026-04-28,,
google:ChIJmUA1xSbtfkgRNeth0JhPgnc,google,ChIJmUA1xSbtfkgRNeth0JhPgnc,Tanique,"8 York Rd, Middlesbrough TS5 6LW, UK",E06000002,2.0,54.558302298007035,-1.2335381865235677,confirmed,MB,2026-04-28,,
google:ChIJB4PEKNHsfkgRPWLUac2utjY,google,ChIJB4PEKNHsfkgRPWLUac2utjY,The Beauty Spot,"111 Acklam Rd, Middlesbrough TS5 5HR, UK",E06000002,2.0,54.55302029800437,-1.2626756865439979,confirmed,MB,2026-04-28,,
google:ChIJ0dUDChrtfkgRcpJUC-x6BL4,google,ChIJ0dUDChrtfkgRcpJUC-x6BL4,The Edge Hair & Beauty,"220 Linthorpe Rd, Middlesbrough TS1 3QW, UK",E06000002,1.0,54.570140498018326,-1.2384820865214736,confirmed,MB,2026-04-28,,
