lad_code,n_salons,pop,salons_per_100k
City of London,2,8579,23.31
Barking and Dagenham,13,218840,5.94
Barnet,33,389365,8.48
Bexley,45,246430,18.26
Brent,28,339832,8.24
Bromley,66,329978,20.0
Camden,13,210104,6.19
Croydon,33,390665,8.45
Ealing,30,367139,8.17
Enfield,19,330000,5.76
Greenwich,22,289102,7.61
Hackney,18,259151,6.95
Hammersmith and Fulham,19,183109,10.38
Haringey,16,264229,6.06
Harrow,12,261205,4.59
Havering,33,262037,12.59
Hillingdon,44,305923,14.38
Hounslow,18,288199,6.25
Islington,17,216656,7.85
Kensington and Chelsea,17,143376,11.86
Kingston upon Thames,15,168103,8.92
Lambeth,16,317675,5.04
Lewisham,25,300534,8.32
Merton,20,217087,9.21
Newham,31,351010,8.83
Redbridge,19,310192,6.13
Richmond upon Thames,19,195290,9.73
Southwark,26,307609,8.45
Sutton,33,207753,15.88
Tower Hamlets,28,310303,9.02
Waltham Forest,23,278419,8.26
Wandsworth,28,327502,8.55
Westminster,19,204235,9.3
