region,phase,imd_quintile,pct_routes_with_salon,n_pupils_exposed_approx
NE_England,primary,1,8.5,6626
NE_England,primary,2,9.9,3643
NE_England,primary,3,9.4,2348
NE_England,primary,4,10.1,2119
NE_England,primary,5,7.3,2284
NE_England,secondary,1,22.1,13103
NE_England,secondary,2,23.1,5862
NE_England,secondary,3,21.0,3707
NE_England,secondary,4,16.5,2356
NE_England,secondary,5,14.0,2933
SW_England,primary,1,4.9,1607
SW_England,primary,2,8.5,3646
SW_England,primary,3,4.1,1981
SW_England,primary,4,5.0,2607
SW_England,primary,5,6.5,2837
SW_England,secondary,1,13.8,3690
SW_England,secondary,2,15.8,5187
SW_England,secondary,3,12.7,4429
SW_England,secondary,4,10.1,4394
SW_England,secondary,5,10.4,4052
Greater_Manchester,primary,1,5.9,6391
Greater_Manchester,primary,2,7.1,2935
Greater_Manchester,primary,3,9.5,2215
Greater_Manchester,primary,4,7.7,1844
Greater_Manchester,primary,5,6.0,1777
Greater_Manchester,secondary,1,14.6,10783
Greater_Manchester,secondary,2,14.5,4444
Greater_Manchester,secondary,3,14.9,2652
Greater_Manchester,secondary,4,12.2,2158
Greater_Manchester,secondary,5,20.9,4539
West_Midlands,primary,1,2.9,3607
West_Midlands,primary,2,7.0,2504
West_Midlands,primary,3,5.7,1351
West_Midlands,primary,4,8.6,1407
West_Midlands,primary,5,5.1,996
West_Midlands,secondary,1,7.5,6979
West_Midlands,secondary,2,12.9,3655
West_Midlands,secondary,3,16.4,3397
West_Midlands,secondary,4,15.0,2041
West_Midlands,secondary,5,15.1,2661
Yorkshire,primary,1,5.1,6660
Yorkshire,primary,2,9.1,4560
Yorkshire,primary,3,10.6,3973
Yorkshire,primary,4,11.0,4092
Yorkshire,primary,5,6.3,2345
Yorkshire,secondary,1,13.1,12171
Yorkshire,secondary,2,15.6,5645
Yorkshire,secondary,3,17.9,4890
Yorkshire,secondary,4,21.9,5883
Yorkshire,secondary,5,17.8,4740
