lad_code,lad_name,imd_quintile,pop_total,pop_school_age,n_salons,salons_per_100k_pop
E06000001,Hartlepool,1,49135,9711,14,28.49
E06000001,Hartlepool,2,8572,1447,0,0.0
E06000001,Hartlepool,3,7415,1066,0,0.0
E06000001,Hartlepool,4,17415,2762,2,11.48
E06000001,Hartlepool,5,9839,1701,0,0.0
E06000002,Middlesbrough,1,84582,17730,24,28.37
E06000002,Middlesbrough,2,8617,1748,5,58.02
E06000002,Middlesbrough,3,15533,2599,0,0.0
E06000002,Middlesbrough,4,18402,2958,10,54.34
E06000002,Middlesbrough,5,16804,2796,1,5.95
E06000003,Redcar and Cleveland,1,49738,9520,11,22.12
E06000003,Redcar and Cleveland,2,26520,4184,3,11.31
E06000003,Redcar and Cleveland,3,23266,3617,1,4.3
E06000003,Redcar and Cleveland,4,13958,2029,0,0.0
E06000003,Redcar and Cleveland,5,23006,3627,0,0.0
E06000004,Stockton-on-Tees,1,62696,12732,19,30.3
E06000004,Stockton-on-Tees,2,30091,5447,4,13.29
E06000004,Stockton-on-Tees,3,19260,3013,5,25.96
E06000004,Stockton-on-Tees,4,26132,4092,2,7.65
E06000004,Stockton-on-Tees,5,58429,10786,14,23.96
E06000005,Darlington,1,29275,5437,13,44.41
E06000005,Darlington,2,26727,4619,2,7.48
E06000005,Darlington,3,14313,2223,5,34.93
E06000005,Darlington,4,13059,2325,0,0.0
E06000005,Darlington,5,22984,3886,3,13.05
E06000047,County Durham,1,197853,35334,61,30.83
E06000047,County Durham,2,138459,22661,41,29.61
E06000047,County Durham,3,72813,11157,14,19.23
E06000047,County Durham,4,56061,8233,16,28.54
E06000047,County Durham,5,56890,11726,9,15.82
E06000057,Northumberland,1,67216,12535,18,26.78
E06000057,Northumberland,2,67878,10102,32,47.14
E06000057,Northumberland,3,73026,10084,14,19.17
E06000057,Northumberland,4,45161,6452,9,19.93
E06000057,Northumberland,5,67258,10598,9,13.38
E08000021,Newcastle upon Tyne,1,115252,24514,21,18.22
E08000021,Newcastle upon Tyne,2,37299,6150,11,29.49
E08000021,Newcastle upon Tyne,3,48983,11177,7,14.29
E08000021,Newcastle upon Tyne,4,40969,5361,7,17.09
E08000021,Newcastle upon Tyne,5,57603,9271,9,15.62
E08000022,North Tyneside,1,41346,7185,12,29.02
E08000022,North Tyneside,2,50270,9031,14,27.85
E08000022,North Tyneside,3,22380,3491,2,8.94
E08000022,North Tyneside,4,39557,5771,8,20.22
E08000022,North Tyneside,5,55414,8984,10,18.05
E08000023,South Tyneside,1,69284,12389,18,25.98
E08000023,South Tyneside,2,33270,5417,7,21.04
E08000023,South Tyneside,3,16200,2643,0,0.0
E08000023,South Tyneside,4,13467,1857,0,0.0
E08000023,South Tyneside,5,15569,2268,2,12.85
E08000024,Sunderland,1,126908,23622,43,33.88
E08000024,Sunderland,2,54963,8737,17,30.93
E08000024,Sunderland,3,36982,5638,4,10.82
E08000024,Sunderland,4,32428,4545,5,15.42
E08000024,Sunderland,5,22904,3376,1,4.37
E08000037,Gateshead,1,69930,13193,23,32.89
E08000037,Gateshead,2,47187,7786,6,12.72
E08000037,Gateshead,3,26080,3786,3,11.5
E08000037,Gateshead,4,27960,3977,8,28.61
E08000037,Gateshead,5,25045,3640,2,7.99
