measure,q,n,value,se,ci_lo,ci_hi
buffer_800m,1,382,1.7591623036649215,0.09162490158036218,1.5795774965674116,1.9387471107624314
buffer_800m,2,250,1.556,0.10841805152087142,1.3435006190190921,1.768499380980908
buffer_800m,3,168,1.3214285714285714,0.13115959446231962,1.064355766282425,1.5785013765747178
buffer_800m,4,148,1.3783783783783783,0.1532288404091462,1.0780498511764518,1.6787069055803048
buffer_800m,5,150,1.0066666666666666,0.10681337785264691,0.7973124460754787,1.2160208872578546
route_50m_per_pupil,1,357,0.11985950908917554,0.014304510584992165,0.0918226683425909,0.1478963498357602
route_50m_per_pupil,2,217,0.16875808627927139,0.02391717261333657,0.1218804279571317,0.21563574460141105
route_50m_per_pupil,3,145,0.1804627239160727,0.0341757624468524,0.113478229520242,0.24744721831190342
route_50m_per_pupil,4,125,0.18152655255937955,0.04381444073037005,0.09565024872785426,0.26740285639090483
route_50m_per_pupil,5,135,0.10374129190916186,0.020466611913093628,0.06362673255949836,0.14385585125882536
