measure,q,n,value,se,ci_lo,ci_hi
buffer_800m,1,382,1.7591623036649215,0.09162490158036218,1.5795774965674116,1.9387471107624314
buffer_800m,2,250,1.556,0.10841805152087142,1.3435006190190921,1.768499380980908
buffer_800m,3,168,1.3214285714285714,0.13115959446231962,1.064355766282425,1.5785013765747178
buffer_800m,4,148,1.3783783783783783,0.1532288404091462,1.0780498511764518,1.6787069055803048
buffer_800m,5,150,1.0066666666666666,0.10681337785264691,0.7973124460754787,1.2160208872578546
route_50m_per_pupil,1,371,0.10826968290411637,0.010977193452197914,0.08675438373780846,0.12978498207042427
route_50m_per_pupil,2,241,0.15882751268339726,0.019977252809525867,0.11967209717672656,0.19798292819006796
route_50m_per_pupil,3,164,0.13681091572003592,0.02356289575045349,0.09062764004914708,0.18299419139092477
route_50m_per_pupil,4,140,0.13308643610907653,0.03022270679829324,0.07384993078442179,0.19232294143373127
route_50m_per_pupil,5,142,0.09186380576169162,0.01770171339742705,0.0571684475027346,0.12655916402064865
